    end of RCAS, DRT ..........
               25             25
          25        25
          26        37
          27        58
          28        90
          29       127
          30       164
          31       189
          32       204
          33       211
       J    K   A  B  JM   J0   J1   J2   J3         Y1            Y2      Y3         X   IND
     152   30   2  2  2   179  180  182  183          1         6         8        15  0 5 0 0 0 0 0 0
     153   30   2  1  1   180  181  183  184          5        11        18        26  0 6 0 0 0 0 0 0
     154   30   2  0  2   181    0  184  185          0         6        14        17  0 7 0 0 0 0 0 0
     155   30   1  4  2     0  182    0  186          0         0         2         3  0 5 0 0 0 0 0 0
     156   30   1  3  1   182  183  186  187          2         9        10        13  0 6 0 0 0 0 0 0
     157   30   1  2  2   183  184  187  188          7        15        18        21  0 7 0 0 0 0 0 0
     158   30   1  1  1   184  185  188  189          8        11        14        15  0 8 0 0 0 0 0 0
     159   30   1  0  2   185    0  189    0          0         3         0         4  0 9 0 0 0 0 0 0
     160   30   0  5  1     0  186    0    0          0         0         0         1  0 6 0 0 0 0 0 0
     161   30   0  4  2   186  187    0    0          1         0         0         4  0 7 0 0 0 0 0 0
     162   30   0  3  1   187  188    0    0          3         0         0         6  0 8 0 0 0 0 0 0
     163   30   0  2  2   188  189    0    0          3         0         0         4  0 9 0 0 0 0 0 0
     164   30   0  1  1   189    0    0    0          0         0         0         1  010 0 0 0 0 0 0
     165   31   3  0  1     0    0    0  190          0         0         0         1  0 4 0 0 0 0 0 0
     166   31   2  2  1     0    0    0  191          0         0         0         1  0 4 0 0 0 0 0 0
     167   31   2  1  2     0  190  191  192          0         1         2         5  0 5 0 0 0 0 0 0
     168   31   2  0  1   190    0  192  193          0         1         4         7  0 6 0 0 0 0 0 0
     169   31   1  3  2     0  191    0  194          0         0         1         2  0 5 0 0 0 0 0 0
     170   31   1  2  1   191  192  194  195          1         4         5         7  0 6 0 0 0 0 0 0
     171   31   1  1  2   192  193  195  196          3         6         8        10  0 7 0 0 0 0 0 0
     172   31   1  0  1   193    0  196  197          0         3         5         6  0 8 0 0 0 0 0 0
     173   31   0  4  1     0  194    0    0          0         0         0         1  0 6 0 0 0 0 0 0
     174   31   0  3  2   194  195    0    0          1         0         0         3  0 7 0 0 0 0 0 0
     175   31   0  2  1   195  196    0    0          2         0         0         4  0 8 0 0 0 0 0 0
     176   31   0  1  2   196  197    0    0          2         0         0         3  0 9 0 0 0 0 0 0
     177   31   0  0  1   197    0    0    0          0         0         0         1  010 0 0 0 0 0 0
     178   31   3  0  2     0    0    0  198          0         0         0         1  0 5 0 0 0 0 0 0
     179   31   2  2  2     0    0    0  199          0         0         0         1  0 5 0 0 0 0 0 0
     180   31   2  1  1     0  198  199  200          0         1         2         5  0 6 0 0 0 0 0 0
     181   31   2  0  2   198    0  200  201          0         1         4         6  0 7 0 0 0 0 0 0
     182   31   1  3  1     0  199    0  202          0         0         1         2  0 6 0 0 0 0 0 0
     183   31   1  2  2   199  200  202  203          1         4         5         7  0 7 0 0 0 0 0 0
     184   31   1  1  1   200  201  203  204          3         5         7         8  0 8 0 0 0 0 0 0
     185   31   1  0  2   201    0  204    0          0         2         0         3  0 9 0 0 0 0 0 0
     186   31   0  4  2     0  202    0    0          0         0         0         1  0 7 0 0 0 0 0 0
     187   31   0  3  1   202  203    0    0          1         0         0         3  0 8 0 0 0 0 0 0
     188   31   0  2  2   203  204    0    0          2         0         0         3  0 9 0 0 0 0 0 0
     189   31   0  1  1   204    0    0    0          0         0         0         1  010 0 0 0 0 0 0
     190   32   2  0  1     0    0    0  205          0         0         0         1  0 6 0 0 0 0 0 0
     191   32   1  2  1     0    0    0  206          0         0         0         1  0 6 0 0 0 0 0 0
     192   32   1  1  2     0  205  206  207          0         1         2         3  0 7 0 0 0 0 0 0
     193   32   1  0  1   205    0  207  208          0         1         2         3  0 8 0 0 0 0 0 0
     194   32   0  3  2     0  206    0    0          0         0         0         1  0 7 0 0 0 0 0 0
     195   32   0  2  1   206  207    0    0          1         0         0         2  0 8 0 0 0 0 0 0
     196   32   0  1  2   207  208    0    0          1         0         0         2  0 9 0 0 0 0 0 0
     197   32   0  0  1   208    0    0    0          0         0         0         1  010 0 0 0 0 0 0
     198   32   2  0  2     0    0    0  209          0         0         0         1  0 7 0 0 0 0 0 0
     199   32   1  2  2     0    0    0  210          0         0         0         1  0 7 0 0 0 0 0 0
     200   32   1  1  1     0  209  210  211          0         1         2         3  0 8 0 0 0 0 0 0
     201   32   1  0  2   209    0  211  412          0         1         0         2  0 9 0 0 0 0 0 0
     202   32   0  3  1     0  210    0    0          0         0         0         1  0 8 0 0 0 0 0 0
     203   32   0  2  2   210  211    0    0          1         0         0         2  0 9 0 0 0 0 0 0
     204   32   0  1  1   211  412    0    0          0         0         0         1  010 0 0 0 0 0 0
     205   33   1  0  1   413    0  414  415          0         0         0         1  0 8 0 0 0 0 0 0
     206   33   0  2  1     0    0    0    0          0         0         0         1  0 8 0 0 0 0 0 0
     207   33   0  1  2     0    0    0    0          0         0         0         1  0 9 0 0 0 0 0 0
     208   33   0  0  1     0    0    0    0          0         0         0         1  010 0 0 0 0 0 0
     209   33   1  0  2     0    0    0    0          0         0         0         1  0 9 0 0 0 0 0 0
     210   33   0  2  2     0    0    0    0          0         0         0         1  0 9 0 0 0 0 0 0
     211   33   0  1  1     0    0    0    0          0         0         0         1  010 0 0 0 0 0 0
